<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
18/09/18,110260,110260,110220,110220
18/09/18,110260,110270,110240,110270
18/09/18,110280,110280,110280,110280
18/09/18,110270,110270,110240,110240
18/09/18,110260,110320,110250,110300
18/09/18,110330,110370,110330,110350
18/09/18,110350,110350,110330,110330
18/09/18,110350,110450,110350,110400
18/09/18,110410,110470,110380,110470
18/09/18,110430,110640,110430,110540
18/09/18,110510,110530,110360,110500
18/09/18,110490,110500,110470,110500
18/09/18,110460,110460,110460,110460
18/09/18,110460,110460,110350,110350
18/10/18,115740,115740,115110,115210
18/10/18,115220,115230,115050,115080
18/10/18,115080,115150,115030,115070
18/10/18,115070,115110,115020,115080
18/10/18,115080,115180,115050,115110
18/10/18,115100,115180,115060,115070
18/10/18,115090,115130,115060,115120
18/10/18,115120,115130,115060,115110
18/10/18,115100,115190,115080,115120
18/10/18,115120,115190,115110,115190
18/10/18,115170,115190,114930,114950
18/10/18,114960,115000,114880,114990
18/10/18,114990,115000,114900,114940
18/10/18,114940,114950,114860,114950
18/10/18,114950,115020,114900,115000
18/10/18,114990,115050,114950,115050
18/10/18,115050,115080,115000,115060
18/10/18,115050,115050,114990,115020
18/10/18,115020,115080,114990,115050
18/10/18,115050,115080,115000,115010
18/10/18,115000,115080,115000,115050
18/10/18,115050,115110,115050,115090
18/10/18,115100,115180,115090,115140
18/10/18,115140,115160,115110,115110
18/10/18,115130,115150,115090,115110
18/10/18,115120,115180,115110,115170
18/10/18,115170,115200,115110,115120
18/10/18,115110,115200,115110,115190
18/10/18,115190,115290,115180,115220
18/10/18,115210,115240,115190,115210
18/10/18,115210,115260,115200,115260
18/10/18,115260,115280,115220,115230
18/10/18,115230,115240,115180,115200
18/10/18,115210,115280,115200,115270
18/10/18,115260,115310,115260,115300
18/10/18,115300,115310,115250,115270
18/10/18,115270,115280,115150,115180
18/10/18,115190,115210,115150,115190
18/10/18,115200,115260,115200,115210
18/10/18,115200,115230,115180,115210
18/10/18,115210,115260,115190,115240
18/10/18,115240,115260,115150,115200
18/10/18,115190,115260,115190,115220
18/10/18,115230,115240,115190,115200
18/10/18,115200,115220,115190,115200
18/10/18,115200,115220,115110,115120
18/10/18,115120,115210,115110,115190
18/10/18,115210,115220,115190,115220
18/10/18,115220,115300,115210,115280
18/10/18,115280,115350,115250,115350
18/10/18,115350,115460,115300,115400
18/10/18,115390,115420,115340,115350
18/10/18,115360,115430,115350,115370
18/10/18,115370,115440,115370,115430
18/10/18,115430,115480,115420,115460
18/10/18,115470,115480,115420,115480
18/10/18,115460,115570,115460,115470
18/10/18,115470,115480,115410,115440
18/10/18,115440,115480,115420,115460
18/10/18,115460,115510,115450,115450
18/10/18,115460,115530,115460,115500
18/10/18,115490,115500,115420,115440
18/10/18,115440,115480,115430,115470
18/10/18,115480,115490,115440,115440
18/10/18,115440,115440,115350,115380
18/10/18,115390,115410,115350,115350
18/10/18,115350,115350,115220,115230
18/10/18,115250,115290,115240,115250
18/10/18,115240,115260,115220,115250
18/10/18,115260,115290,115240,115250
18/10/18,115240,115280,115240,115280
18/10/18,115280,115290,115250,115250
18/10/18,115240,115270,115150,115170
18/10/18,115190,115240,115180,115240
18/10/18,115230,115270,115190,115200
18/10/18,115200,115270,115190,115250
18/10/18,115240,115280,115220,115270
18/10/18,115270,115270,115170,115190
18/10/18,115180,115220,115120,115170
18/10/18,115150,115200,115130,115190
18/10/18,115190,115240,115180,115190
18/10/18,115200,115230,115140,115140
18/10/18,115140,115250,115140,115250
18/10/18,115250,115250,115150,115150
18/10/18,115160,115160,115120,115140
18/10/18,115140,115220,115140,115200
18/10/18,115200,115210,115180,115190
18/10/18,115190,115200,115150,115180
18/10/18,115170,115230,115150,115200
18/10/18,115190,115280,115190,115260
18/10/18,115260,115260,115170,115190
18/10/18,115180,115220,115180,115190
18/10/18,115190,115200,115160,115160
18/10/18,115170,115210,115170,115190
18/10/18,115180,115190,115130,115160
18/10/18,115160,115190,115160,115180
18/10/18,115170,115200,115160,115180
18/10/18,115200,115240,115190,115210
18/10/18,115220,115220,115080,115160
18/10/18,115150,115180,115120,115180
18/10/18,115190,115190,115110,115190
18/10/18,115180,115200,115160,115180
18/10/18,115200,115210,115160,115200
18/10/18,115190,115190,115170,115180
18/10/18,115180,115200,115160,115160
18/10/18,115160,115180,115080,115080
18/10/18,115080,115100,115050,115060
18/10/18,115070,115110,115050,115100
18/10/18,115100,115130,115090,115130
18/10/18,115120,115160,115100,115110
18/10/18,115110,115200,115100,115180
18/10/18,115170,115190,115130,115160
18/10/18,115170,115200,115150,115190
18/10/18,115180,115200,115170,115200
18/10/18,115200,115250,115170,115200
18/10/18,115200,115210,115150,115180
18/10/18,115180,115180,115110,115130
18/10/18,115150,115160,115120,115140
18/10/18,115150,115150,115030,115040
18/10/18,115060,115070,115030,115030
18/10/18,115050,115090,115030,115060
18/10/18,115060,115130,115020,115120
18/10/18,115120,115140,115100,115110
18/10/18,115110,115110,115050,115060
18/10/18,115060,115130,115060,115110
18/10/18,115120,115140,115100,115120
18/10/18,115110,115190,115110,115150
18/10/18,115170,115220,115150,115220
18/10/18,115220,115230,115180,115200
18/10/18,115200,115260,115200,115230
18/10/18,115220,115260,115190,115260
18/10/18,115250,115260,115220,115240
18/10/18,115240,115330,115240,115270
18/10/18,115270,115270,115150,115160
18/10/18,115170,115240,115160,115230
18/10/18,115240,115260,115180,115190
18/10/18,115190,115230,115170,115190
18/10/18,115180,115250,115180,115250
18/10/18,115240,115260,115190,115240
18/10/18,115240,115310,115230,115240
18/10/18,115240,115240,115190,115220
18/10/18,115220,115230,115140,115180
18/10/18,115170,115180,115130,115130
18/10/18,115130,115200,115130,115200
18/10/18,115190,115190,115130,115170
18/10/18,115170,115220,115160,115200
18/10/18,115190,115190,115140,115140
18/10/18,115140,115180,115110,115180
18/10/18,115190,115200,115130,115160
18/10/18,115160,115160,115120,115130
18/10/18,115140,115200,115140,115150
18/10/18,115150,115180,115150,115150
18/10/18,115170,115180,115150,115170
18/10/18,115180,115180,115110,115120
18/10/18,115120,115140,115070,115130
18/10/18,115130,115130,115100,115110
18/10/18,115120,115130,115050,115050
18/10/18,115050,115070,115000,115000
18/10/18,115000,115040,115000,115040
18/10/18,115040,115050,115000,115000
18/10/18,115000,115080,115000,115070
18/10/18,115060,115100,115040,115060
18/10/18,115060,115090,115060,115060
18/10/18,115070,115090,115050,115070
18/10/18,115060,115160,115060,115120
18/10/18,115100,115170,115100,115170
18/10/18,115160,115200,115150,115180
18/10/18,115190,115430,115170,115400
18/10/18,115410,115410,115330,115370
18/10/18,115380,115380,115350,115350
18/10/18,115350,115420,115340,115420
18/10/18,115410,115650,115400,115520
18/10/18,115520,115600,115500,115530
18/10/18,115540,115600,115520,115550
18/10/18,115550,115600,115550,115570
18/10/18,115570,115580,115510,115550
18/10/18,115560,115590,115510,115510
18/10/18,115510,115550,115510,115510
18/10/18,115510,115510,115410,115440
18/10/18,115430,115490,115430,115460
18/10/18,115460,115490,115430,115430
18/10/18,115430,115470,115350,115360
18/10/18,115360,115360,115270,115290
18/10/18,115290,115310,115270,115280
18/10/18,115270,115290,115240,115270
18/10/18,115270,115320,115260,115290
18/10/18,115290,115300,115210,115220
18/10/18,115230,115260,115170,115230
18/10/18,115230,115240,115200,115220
18/10/18,115200,115210,115180,115200
18/10/18,115220,115240,115200,115220
18/10/18,115220,115220,115180,115210
18/10/18,115200,115240,115200,115230
18/10/18,115230,115240,115170,115180
18/10/18,115180,115210,115160,115160
18/10/18,115160,115200,115150,115170
18/10/18,115180,115200,115160,115190
18/10/18,115180,115180,115110,115110
18/10/18,115110,115130,115070,115090
18/10/18,115080,115120,115080,115090
18/10/18,115090,115170,115080,115150
18/10/18,115150,115180,115130,115170
18/10/18,115180,115200,115130,115160
18/10/18,115170,115170,115120,115160
18/10/18,115160,115180,115160,115170
18/10/18,115160,115180,115120,115170
18/10/18,115170,115180,115140,115150
18/10/18,115150,115170,115140,115140
18/10/18,115160,115170,115140,115140
18/10/18,115140,115150,115100,115140
18/10/18,115140,115170,115110,115160
18/10/18,115160,115170,115110,115120
18/10/18,115120,115140,115080,115080
18/10/18,115070,115070,114890,114940
18/10/18,114930,114980,114930,114950
18/10/18,114960,114990,114930,114950
18/10/18,114950,114980,114940,114970
18/10/18,114970,115000,114960,114990
18/10/18,114990,115000,114950,114950
18/10/18,114960,114970,114940,114950
18/10/18,114940,114950,114800,114900
18/10/18,114900,114920,114870,114900
18/10/18,114910,115000,114880,115000
18/10/18,115000,115030,114960,115010
18/10/18,115020,115020,114950,114990
18/10/18,114980,115010,114970,114990
18/10/18,115000,115010,114970,114980
18/10/18,114980,114990,114940,114980
18/10/18,114990,115020,114960,114980
18/10/18,114970,114970,114880,114930
18/10/18,114940,114970,114910,114940
18/10/18,114940,114970,114930,114950
18/10/18,114970,114980,114940,114940
18/10/18,114940,114960,114920,114960
18/10/18,114950,114950,114920,114940
18/10/18,114940,114950,114920,114930
18/10/18,114930,114930,114890,114910
18/10/18,114900,114900,114860,114880
18/10/18,114880,114890,114840,114850
18/10/18,114860,114860,114510,114710
18/10/18,114710,114800,114650,114690
18/10/18,114690,114690,114580,114610
18/10/18,114600,114690,114590,114690
18/10/18,114690,114750,114670,114730
18/10/18,114720,114890,114720,114860
18/10/18,114850,114880,114800,114800
18/10/18,114800,114820,114750,114750
18/10/18,114770,114810,114770,114800
18/10/18,114810,114850,114770,114810
18/10/18,114810,114820,114760,114790
18/10/18,114780,114860,114770,114830
18/10/18,114830,114850,114810,114820
18/10/18,114820,114850,114810,114820
18/10/18,114810,114820,114770,114800
18/10/18,114800,114810,114740,114750
18/10/18,114740,114780,114730,114760
18/10/18,114750,114810,114750,114810
18/10/18,114810,114820,114790,114820
18/10/18,114830,114850,114820,114840
18/10/18,114850,114860,114840,114860
18/10/18,114860,114870,114790,114790
18/10/18,114800,114830,114780,114830
18/10/18,114820,114830,114720,114720
18/10/18,114740,114800,114740,114790
18/10/18,114790,114810,114780,114810
18/10/18,114800,114830,114770,114830
18/10/18,114820,114850,114800,114850
18/10/18,114840,114860,114820,114850
18/10/18,114850,114950,114820,114860
18/10/18,114870,114890,114830,114850
18/10/18,114850,114860,114770,114790
18/10/18,114780,114780,114670,114710
18/10/18,114720,114750,114710,114750
18/10/18,114730,114750,114720,114740
18/10/18,114750,114790,114690,114710
18/10/18,114700,114740,114670,114700
18/10/18,114700,114730,114630,114630
18/10/18,114640,114640,114560,114580
18/10/18,114580,114590,114510,114550
18/10/18,114550,114560,114520,114530
18/10/18,114520,114570,114510,114560
18/10/18,114570,114630,114550,114580
18/10/18,114570,114600,114570,114580
18/10/18,114590,114630,114580,114590
18/10/18,114580,114630,114560,114610
18/10/18,114600,114630,114590,114600
18/10/18,114600,114600,114570,114570
18/10/18,114580,114600,114500,114540
18/10/18,114540,114560,114380,114420
18/10/18,114400,114460,114380,114390
18/10/18,114380,114400,114310,114370
18/10/18,114370,114430,114360,114390
18/10/18,114410,114420,114380,114410
18/10/18,114410,114410,114350,114370
18/10/18,114360,114370,114320,114320
18/10/18,114330,114340,114270,114310
18/10/18,114310,114310,114190,114210
18/10/18,114200,114220,114140,114160
18/10/18,114160,114170,114110,114110
18/10/18,114120,114200,114100,114180
18/10/18,114170,114200,114150,114180
18/10/18,114180,114220,114180,114180
18/10/18,114190,114290,114190,114270
18/10/18,114270,114290,114250,114260
18/10/18,114270,114270,114220,114250
18/10/18,114250,114300,114250,114280
18/10/18,114290,114360,114280,114340
18/10/18,114340,114360,114300,114320
18/10/18,114320,114360,114320,114360
18/10/18,114350,114380,114340,114350
18/10/18,114360,114390,114350,114390
18/10/18,114390,114410,114290,114310
18/10/18,114310,114330,114280,114320
18/10/18,114320,114330,114300,114320
18/10/18,114330,114370,114330,114360
18/10/18,114360,114370,114340,114340
18/10/18,114360,114380,114340,114380
18/10/18,114380,114400,114380,114390
18/10/18,114390,114410,114360,114380
18/10/18,114380,114400,114360,114370
18/10/18,114370,114370,114320,114340
18/10/18,114340,114370,114330,114360
18/10/18,114370,114440,114360,114420
18/10/18,114420,114440,114420,114430
18/10/18,114440,114440,114400,114410
18/10/18,114400,114420,114350,114360
18/10/18,114360,114390,114360,114390
18/10/18,114390,114400,114360,114370
18/10/18,114370,114370,114300,114310
18/10/18,114310,114390,114300,114390
18/10/18,114390,114420,114380,114420
18/10/18,114420,114420,114340,114350
18/10/18,114360,114360,114310,114330
18/10/18,114330,114360,114310,114360
18/10/18,114350,114380,114310,114340
18/10/18,114330,114340,114260,114270
18/10/18,114270,114300,114250,114260
18/10/18,114270,114280,114170,114210
18/10/18,114210,114230,114170,114170
18/10/18,114180,114210,114160,114210
18/10/18,114190,114190,114170,114170
18/10/18,114170,114260,114170,114250
18/10/18,114260,114270,114200,114260
18/10/18,114250,114290,114210,114220
18/10/18,114230,114240,114190,114200
18/10/18,114200,114210,114160,114190
18/10/18,114190,114190,114150,114170
18/10/18,114170,114190,114120,114120
18/10/18,114130,114140,114060,114120
18/10/18,114100,114110,114070,114090
18/10/18,114090,114180,114080,114160
18/10/18,114160,114190,114140,114150
18/10/18,114180,114270,114170,114210
18/10/18,114210,114230,114190,114210
18/10/18,114230,114230,114190,114220
18/10/18,114220,114230,114150,114210
18/10/18,114220,114260,114200,114230
18/10/18,114230,114290,114230,114280
18/10/18,114280,114280,114220,114230
18/10/18,114240,114270,114240,114260
18/10/18,114260,114330,114230,114320
18/10/18,114320,114340,114250,114260
18/10/18,114260,114260,114190,114190
18/10/18,114180,114200,114110,114130
18/10/18,114130,114140,114070,114100
18/10/18,114090,114160,114070,114100
18/10/18,114100,114100,114070,114100
18/10/18,114100,114110,114070,114080
18/10/18,114080,114100,114050,114080
18/10/18,114080,114120,114070,114080
18/10/18,114080,114170,114060,114150
18/10/18,114150,114180,114120,114130
18/10/18,114130,114150,114100,114110
18/10/18,114120,114120,114070,114070
18/10/18,114090,114150,114080,114140
18/10/18,114140,114180,114130,114160
18/10/18,114170,114190,114150,114170
18/10/18,114170,114170,114090,114130
18/10/18,114120,114170,114120,114150
18/10/18,114140,114140,114090,114140
18/10/18,114130,114150,114120,114150
18/10/18,114140,114170,114130,114170
18/10/18,114170,114170,114150,114150
18/10/18,114150,114180,114130,114140
18/10/18,114130,114250,114120,114220
18/10/18,114210,114260,114130,114170
18/10/18,114160,114180,114080,114140
18/10/18,114150,114170,114110,114120
18/10/18,114120,114130,114050,114080
18/10/18,114080,114100,114040,114060
18/10/18,114050,114060,113900,113970
18/10/18,113960,114100,113950,114040
18/10/18,114040,114090,114020,114040
18/10/18,114050,114190,114010,114160
18/10/18,114150,114270,114150,114260
18/10/18,114270,114270,114160,114210
18/10/18,114190,114290,114170,114270
18/10/18,114270,114280,114220,114240
18/10/18,114230,114320,114210,114310
18/10/18,114300,114330,114250,114260
18/10/18,114250,114310,114230,114240
18/10/18,114260,114360,114240,114360
18/10/18,114360,114360,114270,114280
18/10/18,114290,114490,114290,114490
18/10/18,114480,114490,114440,114470
18/10/18,114480,114530,114380,114390
18/10/18,114400,114480,114390,114410
18/10/18,114410,114420,114270,114330
18/10/18,114330,114380,114280,114290
18/10/18,114290,114290,114210,114210
18/10/18,114210,114220,114140,114190
18/10/18,114210,114220,114110,114120
18/10/18,114120,114200,114080,114090
18/10/18,114080,114130,114020,114080
18/10/18,114070,114160,114050,114150
18/10/18,114140,114150,114050,114060
18/10/18,114070,114160,114070,114100
18/10/18,114100,114150,114040,114150
18/10/18,114150,114220,114140,114190
18/10/18,114170,114210,114120,114190
18/10/18,114170,114200,114150,114180
18/10/18,114190,114260,114150,114260
18/10/18,114270,114280,114030,114070
18/10/18,114080,114160,114070,114160
18/10/18,114160,114160,114030,114060
18/10/18,114040,114080,114000,114070
18/10/18,114070,114130,114050,114100
18/10/18,114100,114100,113990,114030
18/10/18,114040,114060,114000,114000
18/10/18,114000,114100,113980,114090
18/10/18,114080,114110,114030,114070
18/10/18,114060,114150,114060,114120
18/10/18,114120,114190,114120,114180
18/10/18,114190,114270,114190,114240
18/10/18,114220,114230,114180,114230
18/10/18,114210,114320,114200,114300
18/10/18,114300,114320,114280,114290
18/10/18,114290,114300,114220,114250
18/10/18,114250,114350,114220,114340
18/10/18,114350,114360,114260,114270
18/10/18,114280,114340,114280,114300
18/10/18,114310,114310,114240,114280
18/10/18,114270,114290,114270,114270
18/10/18,114270,114330,114260,114310
18/10/18,114310,114360,114300,114330
18/10/18,114320,114400,114320,114340
18/10/18,114350,114470,114340,114450
18/10/18,114440,114460,114390,114420
18/10/18,114410,114480,114410,114420
18/10/18,114430,114490,114400,114440
18/10/18,114450,114540,114450,114480
18/10/18,114470,114520,114420,114420
18/10/18,114420,114510,114420,114460
18/10/18,114470,114500,114450,114470
18/10/18,114460,114490,114450,114480
18/10/18,114480,114530,114470,114490
18/10/18,114490,114520,114380,114390
18/10/18,114420,114440,114360,114400
18/10/18,114420,114460,114390,114400
18/10/18,114390,114440,114390,114390
18/10/18,114410,114490,114410,114490
18/10/18,114490,114580,114460,114470
18/10/18,114470,114480,114410,114430
18/10/18,114430,114460,114400,114410
18/10/18,114410,114450,114370,114390
18/10/18,114390,114430,114380,114420
18/10/18,114420,114450,114380,114380
18/10/18,114380,114390,114320,114330
18/10/18,114330,114380,114320,114360
18/10/18,114360,114440,114340,114430
18/10/18,114430,114520,114430,114510
18/10/18,114510,114610,114510,114590
18/10/18,114590,114610,114540,114590
18/10/18,114600,114630,114570,114590
18/10/18,114600,114620,114570,114570
18/10/18,114580,114630,114560,114560
18/10/18,114570,114590,114490,114490
18/10/18,114480,114490,114410,114440
18/10/18,114440,114450,114350,114350
18/10/18,114350,114400,114320,114350
18/10/18,114340,114410,114320,114390
18/10/18,114400,114420,114350,114410
18/10/18,114420,114440,114330,114340
18/10/18,114340,114360,114280,114320
18/10/18,114320,114340,114300,114330
18/10/18,114330,114380,114320,114360
18/10/18,114350,114370,114260,114270
18/10/18,114270,114380,114260,114350
18/10/18,114350,114360,114320,114330
18/10/18,114320,114330,114270,114300
18/10/18,114310,114360,114270,114340
18/10/18,114330,114330,114260,114280
18/10/18,114290,114290,114250,114260
18/10/18,114270,114330,114270,114300
18/10/18,114300,114320,114270,114320
18/10/18,114320,114350,114240,114260
18/10/18,114270,114270,114210,114250
18/10/18,114240,114260,114220,114250
18/10/18,114240,114240,114190,114230
18/10/18,114200,114240,114190,114230
18/10/18,114230,114280,114220,114270
18/10/18,114280,114410,114270,114340
18/10/18,114340,114360,114230,114230
18/10/18,114230,114290,114220,114220
18/10/18,114220,114220,114120,114160
18/10/18,114160,114160,114050,114060
18/10/18,114050,114060,113950,113990
18/10/18,113990,113990,113810,113830
18/10/18,113830,113880,113810,113840
18/10/18,113840,113860,113800,113810
18/10/18,113810,113810,113720,113790
18/10/18,113780,113820,113720,113730
18/10/18,113720,113740,113660,113710
18/10/18,113700,113750,113600,113630
18/10/18,113640,113750,113610,113730
18/10/18,113730,113800,113720,113760
18/10/18,113760,113800,113680,113770
18/10/18,113770,113880,113770,113840
18/10/18,113830,113910,113810,113900
18/10/18,113890,113900,113760,113780
18/10/18,113710,113930,113600,113870
18/10/18,113860,113960,113820,113950
18/10/18,113950,113970,113920,113950
18/10/18,113950,113970,113860,113890
18/10/18,113880,113890,113810,113820
18/10/18,113820,113890,113800,113890
18/10/18,113880,113880,113820,113860
18/10/18,113850,113860,113820,113860
18/10/18,113870,113870,113800,113860
18/10/18,113840,113870,113720,113770
18/10/18,113750,113770,113640,113680
18/10/18,113680,113710,113620,113690
18/10/18,113690,113750,113670,113720
18/10/18,113710,113760,113700,113750
18/10/18,113740,113820,113740,113790
18/10/18,113800,113820,113740,113810
18/10/18,113810,113920,113810,113890
18/10/18,113880,113950,113870,113930
18/10/18,113950,113950,113900,113940
18/10/18,113950,113990,113920,113930
18/10/18,113930,113960,113910,113930
18/10/18,113940,113980,113920,113980
18/10/18,113960,114000,113900,113970
18/10/18,113990,114050,113980,114000
18/10/18,114010,114010,113910,113910
18/10/18,113910,113930,113770,113810
18/10/18,113810,113870,113800,113830
18/10/18,113830,113930,113820,113930
18/10/18,113940,114010,113930,113980
18/10/18,113970,114010,113950,113950
18/10/18,113950,113950,113860,113880
18/10/18,113870,113950,113850,113940
18/10/18,113930,113940,113920,113930
18/10/18,113940,113990,113930,113970
18/10/18,113990,114040,113960,113990
18/10/18,113990,114080,113990,114070
18/10/18,114070,114090,114030,114050
18/10/18,114040,114060,113990,113990
18/10/18,113990,113990,113960,113960
18/10/18,113970,114000,113950,113990
18/10/18,114000,114020,113960,113970
18/10/18,113970,114020,113970,114010
18/10/18,114010,114010,113910,113930
18/10/18,113930,113960,113880,113900
18/10/18,113910,113930,113880,113900
18/10/18,113890,113890,113850,113850
18/10/18,113860,113900,113850,113880
18/10/18,113880,113970,113880,113970
18/10/18,113970,113970,113890,113900
18/10/18,113900,113910,113870,113870
18/10/18,113880,113940,113860,113930
18/10/18,113940,113950,113890,113900
18/10/18,113890,113960,113870,113880
18/10/18,113880,113920,113830,113830
18/10/18,113840,113860,113730,113750
18/10/18,113740,113820,113710,113810
18/10/18,113810,113850,113790,113830
18/10/18,113830,113850,113790,113830
18/10/18,113840,113870,113810,113810
18/10/18,113820,113830,113780,113800
18/10/18,113800,113810,113730,113750
18/10/18,113760,113790,113730,113770
18/10/18,113750,113800,113740,113740
18/10/18,113740,113740,113650,113660
18/10/18,113660,113660,113560,113620
18/10/18,113610,113680,113570,113670
18/10/18,113680,113820,113660,113810
18/10/18,113800,113830,113750,113790
18/10/18,113780,113790,113630,113690
18/10/18,113700,113740,113690,113720
18/10/18,113720,113780,113690,113770
18/10/18,113790,113790,113700,113720
18/10/18,113700,113720,113680,113710
18/10/18,113710,113720,113640,113640
18/10/18,113640,113650,113600,113620
18/10/18,113610,113640,113530,113560
18/10/18,113570,113610,113530,113590
18/10/18,113600,113650,113590,113620
18/10/18,113610,113630,113500,113610
18/10/18,113610,113640,113610,113620
18/10/18,113620,113670,113580,113640
18/10/18,113640,113660,113620,113660
18/10/18,113660,113720,113650,113710
18/10/18,113720,113730,113650,113660
18/10/18,113650,113700,113640,113670
18/10/18,113650,113720,113650,113700
18/10/18,113690,113770,113690,113770
18/10/18,113750,113770,113700,113730
18/10/18,113700,113710,113570,113570
18/10/18,113600,113720,113600,113680
18/10/18,113680,113700,113620,113620
18/10/18,113640,113670,113620,113670
18/10/18,113660,113660,113600,113640
18/10/18,113640,113640,113560,113600
18/10/18,113590,113650,113560,113580
18/10/18,113580,113590,113440,113440
18/10/18,113440,113480,113410,113420
18/10/18,113410,113420,113310,113350
18/10/18,113350,113360,113280,113360
18/10/18,113350,113390,113330,113350
18/10/18,113350,113420,113350,113410
18/10/18,113410,113450,113400,113420
18/10/18,113420,113450,113400,113440
18/10/18,113430,113430,113330,113360
18/10/18,113370,113430,113300,113420
18/10/18,113420,113470,113380,113400
18/10/18,113400,113400,113340,113400
18/10/18,113400,113400,113320,113350
18/10/18,113330,113400,113330,113360
18/10/18,113380,113380,113330,113340
18/10/18,113350,113420,113320,113370
18/10/18,113370,113370,113330,113340
18/10/18,113330,113360,113290,113360
18/10/18,113350,113400,113340,113400
18/10/18,113410,113450,113400,113410
18/10/18,113410,113430,113390,113430
18/10/18,113440,113510,113440,113500
18/10/18,113500,113550,113490,113510
18/10/18,113510,113540,113470,113490
18/10/18,113500,113510,113470,113480
18/10/18,113480,113490,113430,113460
18/10/18,113460,113500,113450,113500
18/10/18,113500,113580,113500,113540
18/10/18,113540,113590,113540,113550
18/10/18,113550,113560,113510,113520
18/10/18,113520,113520,113460,113460
18/10/18,113460,113460,113390,113460
18/10/18,113460,113500,113440,113470
18/10/18,113480,113480,113390,113420
18/10/18,113430,113450,113410,113430
18/10/18,113430,113430,113340,113350
18/10/18,113370,113390,113350,113370
18/10/18,113360,113400,113350,113400
18/10/18,113410,113430,113390,113430
18/10/18,113430,113440,113330,113370
18/10/18,113360,113400,113350,113380
18/10/18,113400,113430,113390,113390
18/10/18,113410,113500,113410,113480
18/10/18,113490,113490,113440,113470
18/10/18,113480,113500,113460,113470
18/10/18,113480,113500,113470,113470
18/10/18,113480,113500,113460,113460
18/10/18,113470,113480,113380,113390
18/10/18,113400,113450,113390,113450
18/10/18,113440,113470,113430,113450
18/10/18,113440,113450,113410,113410
18/10/18,113410,113410,113360,113390
18/10/18,113400,113410,113330,113340
18/10/18,113350,113370,113310,113370
18/10/18,113370,113410,113370,113380
18/10/18,113360,113390,113340,113370
18/10/18,113380,113380,113320,113340
18/10/18,113340,113440,113320,113410
18/10/18,113410,113420,113340,113350
18/10/18,113350,113390,113350,113370
18/10/18,113360,113380,113350,113360
18/10/18,113350,113410,113350,113370
18/10/18,113380,113420,113370,113420
18/10/18,113430,113490,113420,113470
18/10/18,113480,113550,113480,113530
18/10/18,113530,113550,113510,113550
18/10/18,113550,113550,113470,113480
18/10/18,113480,113490,113450,113450
18/10/18,113460,113490,113460,113480
18/10/18,113470,113490,113460,113470
18/10/18,113470,113500,113470,113480
18/10/18,113470,113480,113460,113470
18/10/18,113470,113510,113470,113490
18/10/18,113500,113540,113490,113540
18/10/18,113530,113540,113490,113490
18/10/18,113500,113520,113470,113510
18/10/18,113510,113510,113480,113490
18/10/18,113490,113500,113440,113450
18/10/18,113440,113470,113420,113450
18/10/18,113450,113480,113440,113460
18/10/18,113450,113510,113450,113490
18/10/18,113490,113510,113480,113510
18/10/18,113510,113510,113440,113450
18/10/18,113450,113450,113430,113430
18/10/18,113430,113450,113410,113420
18/10/18,113420,113440,113340,113390
18/10/18,113380,113380,113310,113360
18/10/18,113370,113370,113310,113370
18/10/18,113360,113360,113320,113340
18/10/18,113350,113350,113330,113340
18/10/18,113340,113340,113260,113280
18/10/18,113290,113290,113260,113280
18/10/18,113280,113300,113250,113300
18/10/18,113300,113310,113290,113300
18/10/18,113300,113330,113290,113300
18/10/18,113300,113320,113260,113270
18/10/18,113280,113390,113250,113370
18/10/18,113380,113420,113370,113400
18/10/18,113400,113410,113300,113310
18/10/18,113300,113340,113270,113280
18/10/18,113280,113350,113270,113350
18/10/18,113350,113360,113230,113230
18/10/18,113230,113290,113210,113290
18/10/18,113290,113320,113260,113310
18/10/18,113320,113330,113280,113310
18/10/18,113300,113310,113280,113300
18/10/18,113310,113320,113280,113290
18/10/18,113280,113290,113250,113260
18/10/18,113270,113290,113240,113280
18/10/18,113280,113280,113230,113230
18/10/18,113230,113250,113170,113190
18/10/18,113200,113220,113130,113140
18/10/18,113140,113190,113130,113190
18/10/18,113190,113230,113170,113190
18/10/18,113190,113230,113100,113110
18/10/18,113100,113140,113050,113080
18/10/18,113070,113120,113050,113120
18/10/18,113110,113130,113080,113090
18/10/18,113100,113150,113080,113150
18/10/18,113140,113260,113120,113240
18/10/18,113250,113300,113200,113260
18/10/18,113270,113270,113200,113240
18/10/18,113240,113290,113210,113240
18/10/18,113240,113390,113220,113370
18/10/18,113370,113390,113340,113370
18/10/18,113370,113420,113350,113380
18/10/18,113380,113400,113340,113340
18/10/18,113340,113380,113340,113370
18/10/18,113380,113410,113370,113380
18/10/18,113390,113410,113380,113380
18/10/18,113380,113380,113270,113280
18/10/18,113310,113340,113250,113250
18/10/18,113250,113300,113240,113270
18/10/18,113270,113290,113200,113220
18/10/18,113230,113270,113100,113130
18/10/18,113130,113220,113080,113180
18/10/18,113170,113200,113120,113170
18/10/18,113170,113200,113120,113130
18/10/18,113130,113180,113090,113110
18/10/18,113120,113190,113060,113190
18/10/18,113190,113280,113180,113260
18/10/18,113260,113310,113260,113280
18/10/18,113280,113290,113230,113250
18/10/18,113250,113320,113230,113320
18/10/18,113320,113400,113320,113370
18/10/18,113370,113380,113340,113350
