<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
18/09/18,109580,109580,109560,109570
18/09/18,109570,109580,109570,109570
18/09/18,109570,109570,109540,109540
18/09/18,109520,109530,109510,109510
18/09/18,109510,109520,109430,109440
18/09/18,109440,109460,109410,109450
18/09/18,109470,109500,109470,109470
18/09/18,109470,109470,109390,109410
18/09/18,109410,109420,109320,109330
18/09/18,109320,109370,109300,109370
18/09/18,109370,109410,109370,109390
18/09/18,109400,109410,109350,109360
18/09/18,109370,109430,109350,109410
18/09/18,109410,109460,109400,109460
18/09/18,109460,109510,109440,109500
18/09/18,109500,109510,109490,109510
18/09/18,109510,109550,109500,109540
18/09/18,109550,109570,109530,109550
18/09/18,109520,109560,109520,109550
18/09/18,109560,109620,109560,109620
18/09/18,109630,109660,109620,109620
18/09/18,109620,109620,109570,109580
18/09/18,109590,109600,109560,109560
18/09/18,109570,109570,109550,109550
18/09/18,109550,109560,109530,109550
18/09/18,109560,109580,109540,109580
18/09/18,109580,109580,109550,109570
18/09/18,109570,109610,109550,109560
18/09/18,109560,109560,109470,109470
18/09/18,109470,109500,109470,109470
18/09/18,109460,109570,109450,109530
18/09/18,109520,109580,109520,109530
18/09/18,109530,109530,109470,109480
18/09/18,109470,109490,109440,109490
18/09/18,109500,109540,109500,109520
18/09/18,109520,109540,109460,109460
18/09/18,109470,109500,109430,109440
18/09/18,109450,109480,109430,109480
18/09/18,109480,109480,109440,109440
18/09/18,109440,109490,109440,109480
18/09/18,109480,109510,109450,109450
18/09/18,109440,109440,109410,109420
18/09/18,109420,109480,109420,109470
18/09/18,109460,109520,109430,109480
18/09/18,109490,109500,109430,109430
18/09/18,109440,109460,109440,109440
18/09/18,109450,109480,109450,109470
18/09/18,109460,109490,109400,109430
18/09/18,109430,109540,109430,109500
18/09/18,109490,109530,109490,109500
18/09/18,109510,109510,109490,109510
18/09/18,109510,109520,109490,109490
18/09/18,109520,109540,109500,109510
18/09/18,109510,109530,109500,109510
18/09/18,109500,109520,109500,109520
18/09/18,109520,109530,109510,109520
18/09/18,109530,109560,109530,109540
18/09/18,109540,109550,109530,109540
18/09/18,109560,109560,109520,109540
18/09/18,109550,109570,109550,109570
18/09/18,109570,109570,109510,109570
18/09/18,109570,109570,109510,109560
18/09/18,109560,109600,109560,109570
18/09/18,109550,109580,109540,109560
18/09/18,109570,109570,109550,109560
18/09/18,109570,109620,109570,109590
18/09/18,109590,109610,109570,109580
18/09/18,109580,109620,109570,109610
18/09/18,109610,109630,109590,109600
18/09/18,109610,109640,109610,109610
18/09/18,109600,109610,109580,109600
18/09/18,109600,109650,109600,109640
18/09/18,109640,109650,109600,109620
18/09/18,109620,109650,109620,109640
18/09/18,109630,109680,109630,109670
18/09/18,109680,109750,109680,109750
18/09/18,109730,109730,109670,109680
18/09/18,109670,109670,109650,109650
18/09/18,109650,109700,109650,109680
18/09/18,109710,109790,109710,109790
18/09/18,109790,109790,109750,109760
18/09/18,109750,109760,109750,109760
18/09/18,109740,109750,109710,109720
18/09/18,109740,109760,109720,109750
18/09/18,109740,109780,109740,109760
18/09/18,109760,109810,109760,109800
18/09/18,109810,109910,109730,109810
18/09/18,109830,109900,109830,109870
18/09/18,109890,109940,109760,109900
18/09/18,109900,109930,109870,109900
18/09/18,109880,109890,109840,109880
18/09/18,109880,109930,109870,109920
18/09/18,109920,109920,109860,109870
18/09/18,109880,109890,109850,109870
18/09/18,109880,109890,109860,109860
18/09/18,109880,109890,109860,109860
18/09/18,109850,109860,109840,109840
18/09/18,109840,109920,109840,109900
18/09/18,109900,109920,109880,109910
18/09/18,109910,109920,109890,109920
18/09/18,109910,109920,109860,109870
18/09/18,109870,109880,109860,109870
18/09/18,109870,109870,109830,109840
