Day,Lesson Number,Title,Type,Begin Time,End Time,Teacher,Building,Classroom
Wednesday,lesson_1,Программирование,Лекция,08:20,09:50,Гаврилов Антон Валерьевич,"Кронверкский пр., д. 49, лит. А",Lemon Classroom (1419)
Wednesday,lesson_2,Основы профессиональной деятельности,Лабораторная,11:40,13:10,Ермаков Михаил Константинович,"Кронверкский пр., д. 49, лит. А",2116
Wednesday,lesson_3,Основы профессиональной деятельности,Лабораторная,13:30,15:00,Ермаков Михаил Константинович,"Кронверкский пр., д. 49, лит. А",2116
Friday,lesson_1,Математический анализ,Лекция,11:40,13:10,Попов Игорь Юрьевич,"ул.Ломоносова, д.9, лит. M",1124
Friday,lesson_2,Математический анализ,Практика,13:30,15:00,Попов Игорь Юрьевич,"ул.Ломоносова, д.9, лит. Б",4306
Friday,lesson_3,Английский язык A2,Практика,15:20,16:50,Балабанова Анна Андреевна,"ул.Ломоносова, д.9, лит. Е",3211
Friday,lesson_4,Английский язык A2,Практика,17:00,18:30,Балабанова Анна Андреевна,"ул.Ломоносова, д.9, лит. Е",3211
